City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
394,Taketa,JP,32.97,131.38,46.0,69,97,7.0,overcast clouds
395,Aswan,EG,24.09,32.91,55.49,56,0,7.76,clear sky
396,Ulety,RU,51.36,112.48,7.03,89,22,5.97,few clouds
397,Nantucket,US,41.28,-70.1,51.8,87,90,9.78,fog
398,Port Lincoln,AU,-34.73,135.87,73.85,55,100,10.2,overcast clouds
399,Abnub,EG,27.27,31.15,50.0,71,0,6.93,clear sky
400,Henties Bay,NA,-22.12,14.28,57.99,91,99,9.28,overcast clouds
401,Puri,IN,19.8,85.85,68.0,82,40,1.12,haze
402,Charlottetown,CA,46.24,-63.13,43.0,100,90,8.05,overcast clouds
403,Rocha,UY,-34.48,-54.33,59.67,93,0,9.62,clear sky
404,Broome,US,42.25,-75.83,44.01,93,90,3.36,overcast clouds
405,Iquitos,PE,-3.75,-73.25,75.2,94,40,3.36,scattered clouds
406,Warrnambool,AU,-38.38,142.48,69.01,79,100,15.23,light rain
407,Bubaque,GW,11.28,-15.83,83.16,54,0,11.21,clear sky
408,Senekal,ZA,-28.32,27.62,60.46,78,97,20.83,overcast clouds
409,Araceli,PH,10.55,119.99,83.53,81,79,17.94,light rain
410,Kahului,US,20.89,-156.47,80.6,57,40,18.34,scattered clouds
411,Gra Liyia,GR,35.02,25.68,57.99,73,2,6.35,clear sky
412,Sur,OM,22.57,59.53,73.87,61,96,8.7,overcast clouds
413,Russkaya Polyana,UA,49.42,31.92,37.83,88,100,4.7,overcast clouds
414,North Bend,US,43.41,-124.22,46.4,93,1,3.36,clear sky
415,Terrytown,US,29.91,-90.03,70.0,88,90,11.41,very heavy rain
416,Burlington,US,39.88,-74.64,48.99,81,1,4.7,clear sky
417,Octeville,FR,49.63,-1.64,51.01,100,96,8.05,mist
418,Kibaek,DK,56.03,8.86,32.0,100,0,1.12,clear sky
419,Bairiki,KI,1.33,172.98,86.0,70,75,9.17,broken clouds
420,Gorey,IE,52.67,-6.29,33.01,95,62,8.28,broken clouds
