City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Tiksi,RU,2020-11-24 02:12:23,71.69,128.87,-1.43,91,98,7.27
70,Mar Del Plata,AR,2020-11-24 02:15:26,-38.0,-57.56,66.0,93,75,9.17
71,Khatanga,RU,2020-11-24 02:15:57,71.97,102.5,-3.71,93,88,7.43
72,Mancio Lima,BR,2020-11-24 02:15:58,-7.61,-72.9,78.57,73,99,2.19
73,Iquique,CL,2020-11-24 02:15:58,-20.22,-70.14,64.4,68,90,8.05
74,Heihe,CN,2020-11-24 02:15:58,50.24,127.49,23.0,57,20,8.95
75,Jalu,LY,2020-11-24 02:15:59,29.03,21.55,56.75,61,0,9.69
76,Mataura,NZ,2020-11-24 02:15:59,-46.19,168.86,62.01,49,96,8.99
77,Petropavlovsk-Kamchatskiy,RU,2020-11-24 02:15:59,53.05,158.65,32.0,85,0,11.18
78,Orebro,SE,2020-11-24 02:15:59,59.27,15.21,41.0,91,98,3.36
79,Cidreira,BR,2020-11-24 02:12:33,-30.18,-50.21,70.27,79,12,23.53
80,Nalut,LY,2020-11-24 02:16:00,30.33,10.85,46.65,87,1,5.53
81,Fairbanks,US,2020-11-24 02:13:17,64.84,-147.72,1.4,77,75,3.62
82,Zhaoqing,CN,2020-11-24 02:16:00,23.05,112.46,69.01,99,95,4.63
83,Galveston,US,2020-11-24 02:15:36,29.37,-94.97,66.2,77,75,10.29
84,Lagoa,PT,2020-11-24 02:16:01,39.05,-27.98,60.84,87,77,24.76
85,Qaanaaq,GL,2020-11-24 02:16:02,77.48,-69.36,6.26,90,100,3.6
86,Visnes,NO,2020-11-24 02:16:02,59.36,5.22,50.0,93,100,21.92
87,Kruisfontein,ZA,2020-11-24 02:16:02,-34.0,24.73,61.0,80,100,1.01
88,Along,IN,2020-11-24 02:16:03,28.17,94.77,58.3,45,35,1.21
89,Pevek,RU,2020-11-24 02:16:03,69.7,170.31,9.14,95,64,0.36
90,Victoria,HK,2020-11-24 02:11:54,22.29,114.16,75.99,74,90,11.23
91,Port Alfred,ZA,2020-11-24 02:12:05,-33.59,26.89,64.11,81,100,13.91
92,Oranjestad,AW,2020-11-24 02:14:26,12.52,-70.03,82.4,83,20,14.99
93,Winnemucca,US,2020-11-24 02:13:10,40.97,-117.74,41.0,52,90,2.98
94,Saint-Philippe,RE,2020-11-24 02:16:04,-21.36,55.77,73.4,64,0,4.7
95,Tura,IN,2020-11-24 02:16:04,25.52,90.22,63.79,76,0,2.75
96,Hailar,CN,2020-11-24 02:16:04,49.2,119.7,18.23,95,82,12.97
97,Maiduguri,NG,2020-11-24 02:16:04,11.85,13.16,72.77,30,63,4.74
98,Deputatskiy,RU,2020-11-24 02:16:05,69.3,139.9,-14.82,89,96,7.78
99,Punta Arenas,CL,2020-11-24 02:16:05,-53.15,-70.92,42.8,72,40,9.17
100,Lar,IN,2020-11-24 02:16:06,26.2,83.97,63.18,47,0,1.99
101,Yulara,AU,2020-11-24 02:16:06,-25.24,130.99,86.0,20,96,12.75
102,Norman Wells,CA,2020-11-24 02:16:06,65.28,-126.83,3.2,77,20,10.29
103,Hamilton,US,2020-11-24 02:15:04,39.18,-84.53,39.99,86,1,3.36
104,Ankang,CN,2020-11-24 02:12:51,32.68,109.02,38.07,83,100,2.24
105,Seoul,KR,2020-11-24 02:11:53,37.57,126.98,39.2,48,90,2.37
106,Pitimbu,BR,2020-11-24 02:16:07,-7.47,-34.81,77.0,88,0,10.29
107,Narsaq,GL,2020-11-24 02:16:07,60.92,-46.05,14.0,61,20,6.93
108,Ostrovnoy,RU,2020-11-24 02:13:24,68.05,39.51,34.32,90,100,11.63
109,Chuguyevka,RU,2020-11-24 02:16:07,44.17,133.86,25.72,87,0,2.21
110,Kavieng,PG,2020-11-24 02:16:08,-2.57,150.8,84.7,78,98,11.52
111,Port Elizabeth,ZA,2020-11-24 02:12:25,-33.92,25.57,62.6,72,90,9.17
112,Carnarvon,AU,2020-11-24 02:16:08,-24.87,113.63,80.6,74,0,9.17
113,Santa Rosa,PH,2020-11-24 02:13:42,14.31,121.11,90.0,58,20,2.24
114,Castro,BR,2020-11-24 02:12:15,-24.79,-50.01,56.66,93,0,8.12
115,Ewa Beach,US,2020-11-24 02:16:09,21.32,-158.01,84.2,51,20,10.29
116,Padang,ID,2020-11-24 02:16:09,-0.95,100.35,81.21,76,76,2.64
117,Zanjan,IR,2020-11-24 02:16:09,36.67,48.48,33.21,90,40,2.93
118,Krasnoselkup,RU,2020-11-24 02:16:10,65.7,82.47,10.47,95,100,15.03
119,Hofn,IS,2020-11-24 02:16:10,64.25,-15.21,37.54,84,100,23.42
120,Mahebourg,MU,2020-11-24 02:12:16,-20.41,57.7,73.4,94,75,12.75
121,Pouembout,NC,2020-11-24 02:16:10,-21.13,164.9,83.53,54,62,2.59
122,Myitkyina,MM,2020-11-24 02:16:11,25.38,97.4,67.26,64,0,2.73
123,Kavaratti,IN,2020-11-24 02:16:11,10.57,72.64,82.24,61,0,8.57
124,Forecariah,GN,2020-11-24 02:16:12,9.43,-13.09,76.17,90,3,2.44
125,Saint Anthony,US,2020-11-24 02:16:12,45.02,-93.22,33.8,59,90,6.93
126,Hithadhoo,MV,2020-11-24 02:12:34,-0.6,73.08,81.84,77,99,11.5
127,Yantal,RU,2020-11-24 02:16:12,56.85,105.25,7.25,93,100,2.73
128,Dikson,RU,2020-11-24 02:16:13,73.51,80.55,8.22,95,100,18.01
129,Georgetown,MY,2020-11-24 02:15:10,5.41,100.34,80.6,83,20,2.24
130,Acarau,BR,2020-11-24 02:16:13,-2.89,-40.12,77.99,83,30,9.73
131,Sanchazi,CN,2020-11-24 02:16:14,42.08,126.6,26.15,89,84,1.3
132,Port Lincoln,AU,2020-11-24 02:15:24,-34.73,135.87,66.79,48,27,5.39
133,Tasiilaq,GL,2020-11-24 02:16:14,65.61,-37.64,24.8,68,100,3.36
134,Nawa,IN,2020-11-24 02:16:14,27.02,75.0,54.93,43,69,6.13
135,Tocopilla,CL,2020-11-24 02:16:14,-22.09,-70.2,65.05,61,25,6.69
136,Dingle,PH,2020-11-24 02:16:14,11.0,122.67,81.14,83,98,14.67
137,Gamba,GA,2020-11-24 02:14:01,-2.65,10.0,75.97,93,100,3.53
138,Cabo San Lucas,MX,2020-11-24 02:12:27,22.89,-109.91,80.6,30,20,3.36
139,Tuktoyaktuk,CA,2020-11-24 02:16:15,69.45,-133.04,5.0,84,75,9.17
140,Elizabeth City,US,2020-11-24 02:16:16,36.29,-76.25,48.2,57,1,8.34
141,Bilibino,RU,2020-11-24 02:16:16,68.05,166.44,2.79,91,100,1.72
142,Tinyahuarco,PE,2020-11-24 02:16:16,-10.75,-76.3,34.5,88,3,1.36
143,Forest,US,2020-11-24 02:16:16,37.36,-79.29,44.6,48,1,6.93
144,Waingapu,ID,2020-11-24 02:16:16,-9.66,120.26,88.34,57,62,3.85
145,Ilulissat,GL,2020-11-24 02:13:14,69.22,-51.1,14.0,56,100,25.28
146,Ancud,CL,2020-11-24 02:15:57,-41.87,-73.82,52.0,71,0,9.17
147,Cap-Aux-Meules,CA,2020-11-24 02:16:16,47.38,-61.86,50.0,87,100,24.16
148,Dunedin,NZ,2020-11-24 02:12:34,-45.87,170.5,55.0,76,94,25.01
149,Turukhansk,RU,2020-11-24 02:16:17,65.82,87.98,7.68,95,100,13.69
150,Smithfield,US,2020-11-24 02:11:31,41.92,-71.55,39.0,69,1,11.41
151,Poum,NC,2020-11-24 02:12:38,-20.23,164.02,77.43,76,0,15.14
152,Severo-Kurilsk,RU,2020-11-24 02:16:17,50.68,156.12,31.32,90,92,24.23
153,Sabang,ID,2020-11-24 02:16:17,5.89,95.32,81.41,77,74,9.89
154,Longyearbyen,SJ,2020-11-24 02:15:30,78.22,15.64,28.4,68,75,13.87
155,Rio Gallegos,AR,2020-11-24 02:16:18,-51.62,-69.22,48.2,45,75,10.29
156,Mandalgovi,MN,2020-11-24 02:16:18,45.76,106.27,10.9,88,0,6.24
157,Pimentel,PE,2020-11-24 02:16:18,-6.84,-79.93,63.37,84,58,13.02
158,Charcas,MX,2020-11-24 02:16:18,23.13,-101.12,53.37,58,0,6.44
159,Cabanatuan,PH,2020-11-24 02:16:18,15.49,120.97,84.2,58,40,6.93
160,Lompoc,US,2020-11-24 02:16:18,34.64,-120.46,53.6,87,90,13.87
161,Bitung,ID,2020-11-24 02:16:19,1.45,125.18,86.0,70,20,6.93
162,Jiujiang,CN,2020-11-24 02:16:19,29.73,115.98,48.49,76,95,9.55
163,Piranshahr,IR,2020-11-24 02:16:19,36.7,45.14,34.99,82,0,3.38
164,Ilhabela,BR,2020-11-24 02:15:59,-23.78,-45.36,71.1,83,53,10.45
165,Vila Do Maio,CV,2020-11-24 02:16:20,15.13,-23.22,77.0,57,0,4.7
166,Okhotsk,RU,2020-11-24 02:13:27,59.38,143.3,1.22,85,52,18.9
167,Thompson,CA,2020-11-24 02:11:59,55.74,-97.86,8.6,84,90,5.82
168,Ambulu,ID,2020-11-24 02:16:20,-8.35,113.61,84.11,72,89,3.27
169,Susanville,US,2020-11-24 02:16:20,40.42,-120.65,39.2,60,1,4.7
170,Mormugao,IN,2020-11-24 02:16:20,15.4,73.8,77.0,73,20,3.36
171,Ranibennur,IN,2020-11-24 02:16:20,14.62,75.62,68.43,87,39,5.37
172,Felipe Carrillo Puerto,MX,2020-11-24 02:16:21,19.58,-88.05,71.33,98,7,3.31
173,Nemuro,JP,2020-11-24 02:16:21,43.32,145.57,37.4,55,20,13.87
174,Huron,US,2020-11-24 02:16:22,41.15,-82.55,37.0,79,95,5.77
175,Hami,CN,2020-11-24 02:16:22,42.8,93.45,23.86,60,100,3.6
176,Daru,PG,2020-11-24 02:16:22,-9.08,143.21,84.63,73,85,7.09
177,Logan Lake,CA,2020-11-24 02:16:22,50.5,-120.8,33.8,86,75,2.24
178,Pemberton,CA,2020-11-24 02:16:22,50.32,-122.8,33.8,100,90,2.24
179,Nanga Eboko,CM,2020-11-24 02:13:07,4.68,12.37,70.29,93,100,2.57
180,Kushmurun,KZ,2020-11-24 02:16:23,52.45,64.63,13.73,95,78,6.13
181,Hermon,US,2020-11-24 02:16:23,44.81,-68.91,36.0,80,90,10.29
182,Kungurtug,RU,2020-11-24 02:16:23,50.6,97.52,14.2,92,100,0.29
183,Saurimo,AO,2020-11-24 02:16:23,-9.66,20.39,65.16,98,100,5.64
184,Khovu-Aksy,RU,2020-11-24 02:16:24,51.13,93.6,13.01,94,100,0.13
185,Lufilufi,WS,2020-11-24 02:16:24,-13.87,-171.6,87.8,70,75,6.93
186,The Valley,AI,2020-11-24 02:16:24,18.22,-63.06,80.6,78,40,11.41
187,Yumen,CN,2020-11-24 02:16:24,40.28,97.2,15.04,85,100,13.58
188,Pacasmayo,PE,2020-11-24 02:16:24,-7.4,-79.57,63.68,83,12,12.91
189,Gorom-Gorom,BF,2020-11-24 02:16:24,14.44,-0.24,71.83,22,0,13.85
190,Yellowknife,CA,2020-11-24 02:12:28,62.46,-114.35,10.99,85,90,8.05
191,Esperance,AU,2020-11-24 02:16:25,-33.87,121.9,87.8,25,0,19.46
192,Waddan,LY,2020-11-24 02:16:25,29.16,16.14,56.34,70,0,8.68
193,Channel-Port Aux Basques,CA,2020-11-24 02:16:25,47.57,-59.14,43.56,90,100,35.97
194,Solnechnyy,RU,2020-11-24 02:16:25,50.72,136.63,22.08,80,9,5.08
195,Port Augusta,AU,2020-11-24 02:16:25,-32.5,137.77,80.01,68,58,10.29
196,Laguna,US,2020-11-24 02:13:24,38.42,-121.42,55.0,58,1,2.33
197,Provideniya,RU,2020-11-24 02:16:25,64.38,-173.3,30.2,80,75,13.42
198,Sayyan,YE,2020-11-24 02:16:26,15.17,44.32,46.98,66,39,4.9
199,Pisco,PE,2020-11-24 02:16:26,-13.7,-76.22,64.0,88,0,17.22
200,Santa Marta,CO,2020-11-24 02:13:30,11.24,-74.2,84.0,76,78,3.0
201,Aripuana,BR,2020-11-24 02:16:26,-9.17,-60.63,76.28,84,95,1.19
202,Bryant,US,2020-11-24 02:16:26,34.6,-92.49,48.0,87,1,4.0
